id,semesterCode,studentNumber,courseCode,studentDepartment,addedOn,priority
578309,191,1510510,CSE225,42,2018-11-27 13:27:05,1
578310,191,1510510,CSE225L,42,2018-11-27 13:27:05,1
578339,191,1510510,CSE231,42,2018-11-27 13:30:27,1
578340,191,1510510,CSE231L,42,2018-11-27 13:30:27,1
619647,191,1510510,MAT130,42,2018-12-06 12:18:22,1
672274,191,1510510,PHY107,42,2018-12-22 06:40:10,1
614819,191,1510634,CSE231,42,2018-12-05 14:47:11,1
614820,191,1510634,CSE231L,42,2018-12-05 14:47:11,1
695729,191,1510634,CSE311,42,2019-01-03 19:28:19,1
695744,191,1510634,CSE311L,42,2019-01-03 19:30:08,1
614825,191,1510634,PHY107L,42,2018-12-05 14:48:31,1
614824,191,1510634,PHY108,42,2018-12-05 14:48:14,1
701771,191,1510761,CSE231,42,2019-01-07 10:23:43,1
701772,191,1510761,CSE231L,42,2019-01-07 10:23:43,1
590585,191,1510761,EEE111,42,2018-11-29 23:06:53,1
590586,191,1510761,EEE111L,42,2018-11-29 23:06:53,1
582874,191,1510761,PHI104,42,2018-11-28 00:18:07,1
701773,191,1510761,PHY107,42,2019-01-07 10:24:18,1
701774,191,1510761,PHY107L,42,2019-01-07 10:24:57,1
653125,191,1510782,CSE173,42,2018-12-16 00:40:37,1
653114,191,1510782,EEE141,42,2018-12-16 00:39:12,1
653115,191,1510782,EEE141L,42,2018-12-16 00:39:12,1
653116,191,1510782,ENG103,42,2018-12-16 00:39:30,1
653118,191,1510782,MAT130,42,2018-12-16 00:39:37,1
651725,191,1511088,CSE323,42,2018-12-15 22:36:00,1
651752,191,1511088,HIS102,42,2018-12-15 22:37:29,1
651731,191,1511088,MAT250,42,2018-12-15 22:36:15,1
651738,191,1511088,PHY107,42,2018-12-15 22:36:37,1
651742,191,1511088,PHY107L,42,2018-12-15 22:37:01,1
691717,191,1511208,ENV107,42,2019-01-02 15:15:57,1
691708,191,1511208,HIS101,42,2019-01-02 15:14:07,1
691716,191,1511208,HIS103,42,2019-01-02 15:15:24,1
691735,191,1511208,MKT202,42,2019-01-02 15:22:07,1
633979,191,1511376,EEE111,42,2018-12-09 20:17:21,1
633980,191,1511376,EEE111L,42,2018-12-09 20:17:22,1
695840,191,1511376,EEE141,42,2019-01-03 19:43:39,1
581174,191,1511376,HIS102,42,2018-11-27 20:50:56,1
646624,191,1511376,MAT250,42,2018-12-14 18:12:07,1
627256,191,1511376,PHY108L,42,2018-12-07 22:37:41,1
705962,191,1511481,CSE231,42,2019-01-13 10:16:06,1
705963,191,1511481,CSE231L,42,2019-01-13 10:16:06,1
586722,191,1511481,CSE323,42,2018-11-28 22:29:38,1
586730,191,1511481,EEE452,42,2018-11-28 22:33:17,1
586720,191,1511481,MAT120,42,2018-11-28 22:29:19,1
634147,191,1511516,CSE225,42,2018-12-09 20:55:15,1
634148,191,1511516,CSE225L,42,2018-12-09 20:55:15,1
634155,191,1511516,EEE141,42,2018-12-09 20:55:58,1
634152,191,1511516,MAT130,42,2018-12-09 20:55:38,1
634159,191,1511516,PHY108,42,2018-12-09 20:56:27,1
591368,191,1511592,CSE225,42,2018-11-30 07:27:05,1
591369,191,1511592,CSE225L,42,2018-11-30 07:27:05,1
603702,191,1511592,CSE231,42,2018-12-03 02:13:30,1
603703,191,1511592,CSE231L,42,2018-12-03 02:13:30,1
591370,191,1511592,MAT250,42,2018-11-30 07:29:09,1
591373,191,1511592,PHI104,42,2018-11-30 07:29:55,1
646574,191,1511679,CSE323,42,2018-12-14 17:39:30,2
628193,191,1511679,HIS103,42,2018-12-08 08:38:31,1
621720,191,1511679,PHY108,42,2018-12-06 18:55:10,1
621721,191,1511679,PHY108L,42,2018-12-06 18:55:29,1
633529,191,1511679,POL101,42,2018-12-09 18:33:50,1
596323,191,1512025,CSE231,42,2018-12-01 15:51:01,1
596324,191,1512025,CSE231L,42,2018-12-01 15:51:01,1
596319,191,1512025,CSE311,42,2018-12-01 15:50:21,1
596322,191,1512025,CSE311L,42,2018-12-01 15:50:36,1
698937,191,1512025,PHY108,42,2019-01-04 21:36:17,1
581595,191,1512028,CSE231,42,2018-11-27 21:31:42,1
581596,191,1512028,CSE231L,42,2018-11-27 21:31:42,1
676114,191,1512028,EEE141,42,2018-12-24 17:16:52,1
676115,191,1512028,EEE141L,42,2018-12-24 17:16:52,1
700206,191,1512028,MAT130,42,2019-01-05 20:57:14,1
676117,191,1512028,PHI104,42,2018-12-24 17:20:25,1
676357,191,1512028,PHY108L,42,2018-12-24 20:21:10,1
605938,191,1512033,CSE215,42,2018-12-03 19:10:06,1
605940,191,1512033,CSE215L,42,2018-12-03 19:10:23,1
605932,191,1512033,CSE311,42,2018-12-03 19:09:28,1
605935,191,1512033,CSE311L,42,2018-12-03 19:09:45,1
703701,191,1512069,CSE225,42,2019-01-09 07:59:10,1
703702,191,1512069,CSE225L,42,2019-01-09 07:59:10,1
703705,191,1512069,EEE111,42,2019-01-09 08:00:43,1
703704,191,1512069,ENG103,42,2019-01-09 08:00:06,1
653356,191,1512225,BIO103,42,2018-12-16 01:58:12,1
653355,191,1512225,CSE215,42,2018-12-16 01:57:36,1
653361,191,1512225,HIS102,42,2018-12-16 01:59:18,1
600877,191,1512315,CSE299,42,2018-12-02 17:40:10,1
649983,191,1512315,CSE323,42,2018-12-15 17:59:57,1
644597,191,1512315,PHI104,42,2018-12-13 22:18:32,1
649984,191,1512315,PHY107L,42,2018-12-15 18:00:46,1
600880,191,1512315,PHY108,42,2018-12-02 17:40:53,1
600884,191,1512315,PHY108L,42,2018-12-02 17:41:08,1
638834,191,1512323,CSE299,42,2018-12-11 13:04:02,1
638833,191,1512323,CSE323,42,2018-12-11 13:03:49,1
638835,191,1512323,EEE111,42,2018-12-11 13:04:17,1
638836,191,1512323,EEE111L,42,2018-12-11 13:04:17,1
641800,191,1512323,EEE452,42,2018-12-12 21:49:15,1
638837,191,1512323,PHY108,42,2018-12-11 13:04:50,1
653559,191,1512349,CSE299,42,2018-12-16 09:15:52,1
613610,191,1512349,CSE323,42,2018-12-05 09:35:52,1
656206,191,1512349,HIS103,42,2018-12-17 13:56:12,1
613616,191,1512349,PHI104,42,2018-12-05 09:37:44,1
699831,191,1512349,PHY107L,42,2019-01-05 15:22:30,1
613611,191,1512349,POL101,42,2018-12-05 09:36:12,1
693575,191,1512425,CSE215,42,2019-01-03 13:10:57,1
693578,191,1512425,CSE215L,42,2019-01-03 13:11:16,1
595998,191,1512425,EEE154,42,2018-12-01 13:55:27,1
595967,191,1512425,HIS103,42,2018-12-01 13:47:06,1
595968,191,1512425,MAT250,42,2018-12-01 13:47:42,1
595960,191,1512425,PHY107,42,2018-12-01 13:44:40,1
695062,191,1512454,BIO103L,42,2019-01-03 18:06:05,1
698006,191,1512454,CSE215L,42,2019-01-04 12:06:02,1
697995,191,1512454,CSE231,42,2019-01-04 12:02:11,1
697996,191,1512454,CSE231L,42,2019-01-04 12:02:11,1
571583,191,1512454,ECO101,42,2018-11-26 20:55:05,1
697966,191,1512454,EEE111,42,2019-01-04 11:48:18,1
571563,191,1512454,PHY107,42,2018-11-26 20:54:15,1
616637,191,1512461,CSE215,42,2018-12-05 21:36:23,1
616640,191,1512461,CSE215L,42,2018-12-05 21:36:43,1
616633,191,1512461,HIS103,42,2018-12-05 21:35:51,1
705091,191,1512461,MAT130,42,2019-01-10 20:35:31,1
616577,191,1512461,PHY107L,42,2018-12-05 21:25:41,1
